# Equatorial spherical coordinates of masers, their parallaxes,
# proper motions in equatorial coordinates, and LSR velocities
#
# Sample:
#
# Objects from the results of running the optimal model of HMSFRs.
# Commented lines here are outliers found via that model.
#
# Descriptions:
#
#  1 name: Name of the object
#  2 alpha: Right ascension [HMS angle]
#  3 delta: Declination [DMS angle]
#  4 par: Trigonometric parallax [mas]
#  5 par_e: Uncertainty in `par` [mas]
#  6 mu_x: Eastward proper motion (1) [mas/yr]
#  7 mu_x_e: Uncertainty in `mu_x` [mas/yr]
#  8 mu_y: Northward proper motion [mas/yr]
#  9 mu_y_e: Uncertainty in `mu_y` [mas/yr]
# 10 v_lsr: Local Standard of Rest velocity [km/s]
# 11 v_lsr_e: Uncertainty in `v_lsr` [km/s]
# 12 type: Type of the object
# 13 source: Source of the data (2)
# 14 reference: Reference(s)
#
# Notes:
#   1. Motion in RA multiplied by cos(Dec)
#   2. Source is a group label:
#     New = New data (as of June 2022)
#     Reid = Reid et al. (2019)
#     VERA = The first VERA catalogue (2020)
#
name alpha delta par par_e mu_x mu_x_e mu_y mu_y_e v_lsr v_lsr_e type source reference
G095.29-00.93 21:39:40.5089 +51:20:32.808 0.206 0.015 -2.74 0.30 -2.85 0.37 -38 5 HMSFR "Reid" "Hachisuka et al. (2015)"
G097.53+03.18 21:32:12.4343 +55:53:49.689 0.133 0.017 -2.94 0.29 -2.48 0.29 -73 5 HMSFR "Reid" "Hachisuka et al. (2015)"
G098.03+01.44 21:43:01.4400 +54:56:17.800 0.366 0.161 -3.28 1.00 -0.63 1.00 -61 5 HMSFR "Reid" "Sakai et al. (2019)"
G100.37-03.57 22:16:10.3651 +52:21:34.113 0.289 0.016 -3.66 0.60 -3.02 0.60 -37 10 HMSFR "Reid" "Choi et al. (2014)"
G105.41+09.87 21:43:06.4810 +66:06:55.340 1.129 0.063 -0.21 1.20 -5.49 1.20 -10 5 HMSFR "Reid" "Xu et al. (2013)"
G107.29+05.63 22:21:26.7280 +63:51:37.920 1.288 0.107 -2.47 1.40 0.26 1.40 -11 5 HMSFR "Reid" "Hirota et al. (2008)"
G108.18+05.51 22:28:51.4117 +64:13:41.201 1.092 0.018 0.26 1.15 -2.26 1.20 -11 3 HMSFR "Reid" "Rygl et al. (2010)"
G108.20+00.58 22:49:31.4775 +59:55:42.006 0.227 0.037 -2.25 0.50 -1.00 0.50 -49 10 HMSFR "Reid" "Choi et al. (2014)"
G108.42+00.89 22:49:58.8760 +60:17:56.650 0.400 0.050 -2.58 0.60 -1.91 0.50 -51 5 HMSFR "Reid" "Imai et al. (2012)"
G108.47-02.81 23:02:32.0800 +56:57:51.400 0.309 0.010 -3.13 0.49 -2.79 0.46 -54 5 HMSFR "Reid" "Choi et al. (2014)"
# G108.59+00.49 22:52:38.3150 +60:00:51.888 0.405 0.033 -5.56 0.40 -3.40 0.40 -52 5 HMSFR "Reid" "Choi et al. (2014)"
G109.87+02.11 22:56:18.0559 +62:01:49.562 1.228 0.024 -1.03 1.30 -2.62 1.33 -7 5 HMSFR "Reid" "Moscadelli et al. (2009), Xu et al. (2016)"
G110.19+02.47 22:57:29.8060 +62:29:46.837 0.314 0.070 -2.14 0.68 -0.32 0.77 -63 5 HMSFR "Reid" "Chibueze et al. (2014)"
G111.23-01.23 23:17:20.7888 +59:28:46.970 0.300 0.081 -4.37 0.60 -2.38 0.60 -53 10 HMSFR "Reid" "Choi et al. (2014)"
G111.25-00.76 23:16:10.3420 +59:55:28.596 0.280 0.015 -2.69 0.28 -1.75 0.33 -40 3 HMSFR "Reid" "Choi et al. (2014)"
G111.54+00.77 23:13:45.3600 +61:28:10.550 0.378 0.017 -2.45 0.40 -2.44 0.40 -57 5 HMSFR "Reid" "Moscadelli et al. (2009)"
G115.05-00.04 23:44:03.2816 +61:47:22.187 0.356 0.040 -3.70 0.78 -2.00 0.81 -36 5 HMSFR "Reid" "Kuzunoet et al. (2013)"
G121.29+00.65 00:36:47.3530 +63:29:02.160 1.077 0.039 -0.86 1.19 -2.29 1.23 -23 5 HMSFR "Reid" "Rygl et al. (2010)"
G122.01-07.08 00:44:58.3970 +55:46:47.600 0.460 0.020 -3.70 0.50 -1.25 0.50 -50 5 HMSFR "Reid" "Moellenbrock, Claussen  31 Goss (2009)"
G123.06-06.30 00:52:24.1960 +56:33:43.180 0.421 0.022 -2.69 0.31 -1.77 0.29 -29 3 HMSFR "Reid" "Rygl et al. (2010)"
G123.06-06.30 00:52:24.7008 +56:33:50.527 0.355 0.030 -2.79 0.62 -2.14 0.70 -30 5 HMSFR "Reid" "Sato et al. (2008)"
G133.94+01.06 02:27:03.8190 +61:52:25.230 0.512 0.010 -1.20 0.32 -0.15 0.32 -47 3 HMSFR "Reid" "Xu et al. (2006), Hachisuka et al. (2006)"
G134.62-02.19 02:22:51.7106 +58:35:11.444 0.413 0.017 -0.49 0.50 -1.19 0.48 -39 5 HMSFR "Reid" "Asaki et al. (2010)"
G135.27+02.79 02:43:28.5680 +62:57:08.388 0.167 0.011 -1.22 0.30 0.46 0.36 -72 3 HMSFR "Reid" "Hachisuka et al. (2009)"
G136.84+01.16 02:49:33.6070 +60:48:27.680 0.470 0.115 0.42 0.50 -0.43 0.50 -42 5 HMSFR "Reid" "Sakai et al. (2019)"
G160.14+03.15 05:01:40.2437 +47:07:19.026 0.244 0.006 0.87 0.35 -1.32 0.29 -18 5 HMSFR "Reid" "Hachisuka et al. (2015)"
G168.06+00.82 05:17:13.7436 +39:22:19.915 0.187 0.022 0.44 0.29 -0.78 0.35 -25 5 HMSFR "Reid" "Honma et al. (2007), Hachisuka et al. (2015)"
G170.65-00.24 05:20:22.0700 +36:37:56.630 0.532 0.075 0.23 1.20 -3.14 0.60 -19 5 HMSFR "Reid" "Sakai et al. (2012)"
G173.48+02.44 05:39:13.0658 +35:45:51.281 0.594 0.014 0.62 0.63 -2.34 0.63 -13 5 HMSFR "Reid" "Sakai et al. (2019)"
G174.20-00.07 05:30:48.0173 +33:47:54.568 0.467 0.020 0.32 0.56 -0.22 0.68 -2 10 HMSFR "Reid" "Burns et al. (2017)"
G176.51+00.20 05:37:52.1353 +32:00:03.928 1.038 0.021 1.84 1.00 -5.86 1.00 -17 5 HMSFR "Reid" "Xu et al. (2013)"
G182.67-03.26 05:39:28.4248 +24:56:31.946 0.157 0.042 0.44 0.35 -0.45 0.36 -7 10 HMSFR "Reid" "Hachisuka et al. (2015)"
G183.72-03.66 05:40:24.2276 +23:50:54.728 0.629 0.012 0.38 1.30 -1.32 1.30 3 5 HMSFR "Reid" "Choi et al. (2014)"
G188.79+01.03 06:09:06.9750 +21:50:41.400 0.496 0.103 -0.10 0.50 -3.91 0.50 -5 5 HMSFR "Reid" "Niinuma et al. (2011)"
G188.94+00.88 06:08:53.3441 +21:38:29.099 0.476 0.006 -0.32 0.49 -1.94 0.49 8 5 HMSFR "Reid" "Oh et al. (2010), Reid et al. (2009)"
G192.16-03.81 05:58:13.5300 +16:31:58.900 0.660 0.040 0.70 0.78 -1.80 0.86 5 5 HMSFR "Reid" "Shiozaki et al. (2011)"
G192.60-00.04 06:12:54.0100 +17:59:23.200 0.601 0.039 -0.18 0.60 -0.43 0.60 7 5 HMSFR "Reid" "Rygl et al. (2010), Burns et al. (2017)"
G196.45-01.67 06:14:37.6410 +13:49:36.693 0.242 0.011 0.20 0.27 -0.73 0.27 19 5 HMSFR "Reid" "Honma et al. (2007), Asaki et al. (2014), Quiroga-Nunez et al. (2019)"
G209.00-19.38 05:35:15.8000 -05:23:14.100 2.421 0.019 3.13 3.06 -1.10 3.71 3 5 HMSFR "Reid" "Sandstrom et al. (2007), Menten et al. (2007), Kim et al. (2008), Kounkel et al. (2017)"
G211.59+01.05 06:52:45.3210 +01:40:23.072 0.239 0.010 -0.79 0.62 0.05 0.66 45 5 HMSFR "Reid" "Sakai et al. (2019)"
G213.70-12.59 06:07:47.8584 -06:22:56.586 1.148 0.030 -1.30 1.20 2.20 1.20 11 3 HMSFR "Reid" "BeSSeL Survey (Unpublished), Dzib et al. (2016)"
G217.79+01.05 07:04:04.8217 -03:50:50.636 0.163 0.016 -0.54 0.23 0.08 0.17 49 5 HMSFR "Reid" "Sparks et al. (2008)"
G229.57+00.15 07:23:01.7718 -14:41:34.339 0.218 0.012 -1.33 0.70 0.77 0.70 53 10 HMSFR "Reid" "Choi et al. (2014)"
G232.62+00.99 07:32:09.7800 -16:58:12.800 0.596 0.035 -2.17 0.38 2.09 0.60 21 3 HMSFR "Reid" "Reid et al. (2009)"
G236.81+01.98 07:44:28.2367 -20:08:30.606 0.326 0.026 -2.49 0.43 2.67 0.41 53 10 HMSFR "Reid" "Choi et al. (2014)"
G239.35-05.06 07:22:58.3260 -25:46:03.060 0.855 0.057 -2.80 0.58 2.60 0.58 20 3 HMSFR "Reid" "Choi et al. (2008), Zhang et al. (2012)"
G240.31+00.07 07:44:51.9676 -24:07:41.372 0.187 0.014 -1.55 0.50 2.57 0.30 68 5 HMSFR "Reid" "Choi et al. (2014), Sakai et al. (2015)"
G305.20+00.01 13:11:16.8912 -62:45:55.008 0.250 0.050 -6.90 0.33 -0.52 0.33 -38 5 HMSFR "Reid" "Krishnan et al. (2017)"
G339.88-01.25 16:52:04.6776 -46:08:34.404 0.480 0.080 -1.60 0.52 -1.90 0.52 -34 3 HMSFR "Reid" "Krishnan et al. (2015)"
G348.70-01.04 17:20:04.0360 -38:58:30.920 0.296 0.026 -0.73 0.31 -2.83 0.59 -9 5 HMSFR "Reid" "BeSSeL Survey (Unpublished)"
G351.44+00.65 17:20:54.6010 -35:45:08.620 0.752 0.069 0.31 0.58 -2.17 0.90 -8 3 HMSFR "Reid" "Wu et al. (2014), Chibueze et al. (2014)"
G359.13+00.03 17:43:25.6109 -29:39:17.551 0.165 0.031 -3.98 0.36 -6.50 0.79 -1 10 HMSFR "Reid" "K. Immer et al. (in preparation)"
G359.61-00.24 17:45:39.0697 -29:23:30.265 0.375 0.021 1.00 0.40 -1.50 0.50 21 5 HMSFR "Reid" "A. Sanna et al. (in preparation), K. Immer et al. (in preparation)"
G359.93-00.14 17:46:01.9183 -29:03:58.674 0.181 0.029 -1.33 0.44 -1.80 0.78 -10 10 HMSFR "Reid" "K. Immer et al. (in preparation)"
